attack_setting,target_identity,target_confidence,predicted_identity,target_match,queries,prototype_mse,prototype_cosine_similarity,privacy_leakage_score
rich_probability,subject_01,0.999967,subject_01,True,360,0.107876,0.866964,0.866964
rich_probability,subject_02,0.999952,subject_02,True,360,0.129027,0.827151,0.827151
rich_probability,subject_03,0.999924,subject_03,True,360,0.04594,0.940239,0.940239
rich_probability,subject_04,0.999982,subject_04,True,360,0.12889,0.826858,0.826858
rich_probability,subject_05,0.999906,subject_05,True,360,0.042631,0.946247,0.946247
rich_probability,subject_06,0.999951,subject_06,True,360,0.064351,0.9337,0.9337
rounded_probability,subject_01,0.0,subject_34,False,360,0.376356,0.875352,0.0
rounded_probability,subject_02,0.0,subject_34,False,360,0.310508,0.869319,0.0
rounded_probability,subject_03,0.0,subject_34,False,360,0.303734,0.862618,0.0
rounded_probability,subject_04,0.0,subject_34,False,360,0.32397,0.868606,0.0
rounded_probability,subject_05,0.0,subject_34,False,360,0.323273,0.872621,0.0
rounded_probability,subject_06,0.0,subject_34,False,360,0.450477,0.882515,0.0
face_prior_probability,subject_01,0.995461,subject_01,True,360,0.015224,0.981163,0.981163
face_prior_probability,subject_02,0.997798,subject_02,True,360,0.015181,0.97658,0.97658
face_prior_probability,subject_03,0.999106,subject_03,True,360,0.006478,0.990455,0.990455
face_prior_probability,subject_04,0.997628,subject_04,True,360,0.009886,0.985684,0.985684
face_prior_probability,subject_05,0.999193,subject_05,True,360,0.003562,0.994775,0.994775
face_prior_probability,subject_06,0.998237,subject_06,True,360,0.018509,0.984426,0.984426
