sample_id,true_class,predicted_class,confidence,probability_vector
0,negative,negative,0.507457,"{""negative"": 0.507457, ""positive"": 0.492543}"
1,negative,positive,0.988617,"{""negative"": 0.011383, ""positive"": 0.988617}"
2,negative,negative,0.920717,"{""negative"": 0.920717, ""positive"": 0.079283}"
3,negative,positive,0.817294,"{""negative"": 0.182706, ""positive"": 0.817294}"
4,negative,positive,0.999985,"{""negative"": 1.5e-05, ""positive"": 0.999985}"
5,negative,negative,0.636613,"{""negative"": 0.636613, ""positive"": 0.363387}"
6,negative,negative,0.959618,"{""negative"": 0.959618, ""positive"": 0.040382}"
7,negative,negative,0.95396,"{""negative"": 0.95396, ""positive"": 0.04604}"
8,negative,negative,0.968932,"{""negative"": 0.968932, ""positive"": 0.031068}"
9,negative,negative,0.888711,"{""negative"": 0.888711, ""positive"": 0.111289}"
10,negative,positive,0.862614,"{""negative"": 0.137387, ""positive"": 0.862614}"
11,negative,positive,0.772975,"{""negative"": 0.227025, ""positive"": 0.772975}"
12,negative,negative,0.985615,"{""negative"": 0.985615, ""positive"": 0.014385}"
13,negative,positive,0.99931,"{""negative"": 0.00069, ""positive"": 0.99931}"
14,negative,positive,0.987973,"{""negative"": 0.012026, ""positive"": 0.987973}"
15,negative,positive,0.982774,"{""negative"": 0.017226, ""positive"": 0.982774}"
16,negative,positive,0.675747,"{""negative"": 0.324253, ""positive"": 0.675747}"
17,negative,positive,0.907645,"{""negative"": 0.092355, ""positive"": 0.907645}"
18,negative,negative,0.938398,"{""negative"": 0.938398, ""positive"": 0.061602}"
19,negative,positive,0.92744,"{""negative"": 0.07256, ""positive"": 0.92744}"
20,negative,negative,0.959269,"{""negative"": 0.959269, ""positive"": 0.040731}"
21,negative,positive,0.83073,"{""negative"": 0.16927, ""positive"": 0.83073}"
22,negative,positive,0.998857,"{""negative"": 0.001143, ""positive"": 0.998857}"
23,negative,positive,0.529983,"{""negative"": 0.470017, ""positive"": 0.529983}"
24,negative,negative,0.927802,"{""negative"": 0.927802, ""positive"": 0.072198}"
25,negative,positive,0.981168,"{""negative"": 0.018832, ""positive"": 0.981168}"
26,negative,positive,0.994089,"{""negative"": 0.005911, ""positive"": 0.994089}"
27,negative,positive,0.851802,"{""negative"": 0.148198, ""positive"": 0.851802}"
28,negative,positive,0.941236,"{""negative"": 0.058764, ""positive"": 0.941236}"
29,negative,positive,0.782995,"{""negative"": 0.217005, ""positive"": 0.782995}"
