attack_setting,target_identity,target_confidence,predicted_identity,target_match,queries,prototype_mse,prototype_cosine_similarity,privacy_leakage_score
rich_probability,subject_01,0.999964,subject_01,True,360,0.104416,0.870594,0.870594
rich_probability,subject_02,0.999966,subject_02,True,360,0.128567,0.827643,0.827643
rich_probability,subject_03,0.999922,subject_03,True,360,0.038624,0.946286,0.946286
rich_probability,subject_04,0.99998,subject_04,True,360,0.127777,0.82798,0.82798
rich_probability,subject_05,0.999917,subject_05,True,360,0.041028,0.948992,0.948992
rich_probability,subject_06,0.999953,subject_06,True,360,0.068252,0.929695,0.929695
rounded_probability,subject_01,0.0,subject_34,False,360,0.376006,0.878509,0.0
rounded_probability,subject_02,0.0,subject_34,False,360,0.310369,0.872311,0.0
rounded_probability,subject_03,0.0,subject_34,False,360,0.303798,0.860174,0.0
rounded_probability,subject_04,0.0,subject_34,False,360,0.32377,0.87473,0.0
rounded_probability,subject_05,0.0,subject_34,False,360,0.323161,0.873905,0.0
rounded_probability,subject_06,0.0,subject_34,False,360,0.450442,0.880852,0.0
face_prior_probability,subject_01,0.996734,subject_01,True,360,0.016117,0.979711,0.979711
face_prior_probability,subject_02,0.997973,subject_02,True,360,0.018279,0.971777,0.971777
face_prior_probability,subject_03,0.999008,subject_03,True,360,0.006288,0.990698,0.990698
face_prior_probability,subject_04,0.997485,subject_04,True,360,0.009623,0.986012,0.986012
face_prior_probability,subject_05,0.999251,subject_05,True,360,0.003645,0.994668,0.994668
face_prior_probability,subject_06,0.998298,subject_06,True,360,0.01956,0.983266,0.983266
