sample_id,true_identity,predicted_identity,confidence,top3_probability_vector
0,subject_01,subject_01,0.962901,"{""subject_01"": 0.962901, ""subject_06"": 0.018604, ""subject_18"": 0.009328}"
1,subject_01,subject_01,0.99246,"{""subject_01"": 0.99246, ""subject_24"": 0.002806, ""subject_06"": 0.001731}"
2,subject_01,subject_01,0.894876,"{""subject_01"": 0.894876, ""subject_05"": 0.06131, ""subject_40"": 0.014943}"
3,subject_02,subject_02,0.955286,"{""subject_02"": 0.955286, ""subject_31"": 0.019677, ""subject_27"": 0.013019}"
4,subject_02,subject_02,0.994526,"{""subject_02"": 0.994526, ""subject_13"": 0.003199, ""subject_04"": 0.001293}"
5,subject_02,subject_02,0.992819,"{""subject_02"": 0.992819, ""subject_31"": 0.002862, ""subject_14"": 0.001378}"
6,subject_03,subject_03,0.910118,"{""subject_03"": 0.910118, ""subject_25"": 0.043211, ""subject_26"": 0.024077}"
7,subject_03,subject_03,0.985917,"{""subject_03"": 0.985917, ""subject_25"": 0.009523, ""subject_04"": 0.000855}"
8,subject_03,subject_03,0.739029,"{""subject_03"": 0.739029, ""subject_26"": 0.166355, ""subject_17"": 0.044432}"
9,subject_04,subject_04,0.777011,"{""subject_04"": 0.777011, ""subject_13"": 0.140065, ""subject_15"": 0.066591}"
10,subject_04,subject_04,0.97656,"{""subject_04"": 0.97656, ""subject_13"": 0.013803, ""subject_20"": 0.00288}"
11,subject_04,subject_04,0.971031,"{""subject_04"": 0.971031, ""subject_13"": 0.025988, ""subject_20"": 0.000939}"
12,subject_05,subject_05,0.786965,"{""subject_05"": 0.786965, ""subject_15"": 0.175673, ""subject_40"": 0.019397}"
13,subject_05,subject_05,0.997801,"{""subject_05"": 0.997801, ""subject_40"": 0.001629, ""subject_06"": 0.00032}"
14,subject_05,subject_05,0.999161,"{""subject_05"": 0.999161, ""subject_40"": 0.00052, ""subject_06"": 0.000109}"
15,subject_06,subject_06,0.999805,"{""subject_06"": 0.999805, ""subject_18"": 0.000135, ""subject_08"": 4e-05}"
16,subject_06,subject_06,0.991399,"{""subject_06"": 0.991399, ""subject_01"": 0.004548, ""subject_05"": 0.002934}"
17,subject_06,subject_06,0.999664,"{""subject_06"": 0.999664, ""subject_01"": 0.000248, ""subject_05"": 8.2e-05}"
18,subject_07,subject_07,0.998649,"{""subject_07"": 0.998649, ""subject_19"": 0.000976, ""subject_17"": 0.000202}"
19,subject_07,subject_07,0.998949,"{""subject_07"": 0.998949, ""subject_06"": 0.000485, ""subject_36"": 0.00025}"
20,subject_07,subject_07,0.999653,"{""subject_07"": 0.999653, ""subject_19"": 0.000228, ""subject_17"": 7.4e-05}"
21,subject_08,subject_08,0.999082,"{""subject_08"": 0.999082, ""subject_32"": 0.000608, ""subject_25"": 0.000151}"
22,subject_08,subject_08,0.783281,"{""subject_08"": 0.783281, ""subject_10"": 0.174946, ""subject_18"": 0.019101}"
23,subject_08,subject_08,0.99906,"{""subject_08"": 0.99906, ""subject_32"": 0.000772, ""subject_10"": 6.4e-05}"
24,subject_09,subject_09,0.99854,"{""subject_09"": 0.99854, ""subject_38"": 0.000331, ""subject_04"": 0.000257}"
25,subject_09,subject_09,0.997683,"{""subject_09"": 0.997683, ""subject_04"": 0.000811, ""subject_03"": 0.000194}"
26,subject_09,subject_09,0.990232,"{""subject_09"": 0.990232, ""subject_10"": 0.002622, ""subject_04"": 0.002171}"
27,subject_10,subject_10,0.999066,"{""subject_10"": 0.999066, ""subject_17"": 0.000258, ""subject_35"": 0.000162}"
28,subject_10,subject_10,0.995643,"{""subject_10"": 0.995643, ""subject_17"": 0.00178, ""subject_28"": 0.001362}"
29,subject_10,subject_10,0.888182,"{""subject_10"": 0.888182, ""subject_28"": 0.046559, ""subject_03"": 0.020369}"
