sample_id,true_identity,predicted_identity,confidence,top3_probability_vector
0,subject_01,subject_01,0.962884,"{""subject_01"": 0.962884, ""subject_06"": 0.018611, ""subject_18"": 0.009336}"
1,subject_01,subject_01,0.992462,"{""subject_01"": 0.992462, ""subject_24"": 0.002805, ""subject_06"": 0.00173}"
2,subject_01,subject_01,0.894932,"{""subject_01"": 0.894932, ""subject_05"": 0.061284, ""subject_40"": 0.014938}"
3,subject_02,subject_02,0.955291,"{""subject_02"": 0.955291, ""subject_31"": 0.019672, ""subject_27"": 0.013017}"
4,subject_02,subject_02,0.994525,"{""subject_02"": 0.994525, ""subject_13"": 0.0032, ""subject_04"": 0.001294}"
5,subject_02,subject_02,0.99282,"{""subject_02"": 0.99282, ""subject_31"": 0.002861, ""subject_14"": 0.001378}"
6,subject_03,subject_03,0.910129,"{""subject_03"": 0.910129, ""subject_25"": 0.043206, ""subject_26"": 0.024079}"
7,subject_03,subject_03,0.985911,"{""subject_03"": 0.985911, ""subject_25"": 0.009528, ""subject_04"": 0.000856}"
8,subject_03,subject_03,0.739011,"{""subject_03"": 0.739011, ""subject_26"": 0.166417, ""subject_17"": 0.044418}"
9,subject_04,subject_04,0.777034,"{""subject_04"": 0.777034, ""subject_13"": 0.140052, ""subject_15"": 0.066576}"
10,subject_04,subject_04,0.976549,"{""subject_04"": 0.976549, ""subject_13"": 0.013813, ""subject_20"": 0.002878}"
11,subject_04,subject_04,0.971012,"{""subject_04"": 0.971012, ""subject_13"": 0.026007, ""subject_20"": 0.000938}"
12,subject_05,subject_05,0.786943,"{""subject_05"": 0.786943, ""subject_15"": 0.175692, ""subject_40"": 0.019399}"
13,subject_05,subject_05,0.997802,"{""subject_05"": 0.997802, ""subject_40"": 0.001629, ""subject_06"": 0.00032}"
14,subject_05,subject_05,0.999161,"{""subject_05"": 0.999161, ""subject_40"": 0.00052, ""subject_06"": 0.000109}"
15,subject_06,subject_06,0.999805,"{""subject_06"": 0.999805, ""subject_18"": 0.000135, ""subject_08"": 4e-05}"
16,subject_06,subject_06,0.991401,"{""subject_06"": 0.991401, ""subject_01"": 0.004547, ""subject_05"": 0.002934}"
17,subject_06,subject_06,0.999664,"{""subject_06"": 0.999664, ""subject_01"": 0.000248, ""subject_05"": 8.2e-05}"
18,subject_07,subject_07,0.998649,"{""subject_07"": 0.998649, ""subject_19"": 0.000975, ""subject_17"": 0.000202}"
19,subject_07,subject_07,0.998949,"{""subject_07"": 0.998949, ""subject_06"": 0.000485, ""subject_36"": 0.00025}"
20,subject_07,subject_07,0.999653,"{""subject_07"": 0.999653, ""subject_19"": 0.000228, ""subject_17"": 7.4e-05}"
21,subject_08,subject_08,0.999082,"{""subject_08"": 0.999082, ""subject_32"": 0.000608, ""subject_25"": 0.000151}"
22,subject_08,subject_08,0.783299,"{""subject_08"": 0.783299, ""subject_10"": 0.174936, ""subject_18"": 0.019111}"
23,subject_08,subject_08,0.99906,"{""subject_08"": 0.99906, ""subject_32"": 0.000772, ""subject_10"": 6.4e-05}"
24,subject_09,subject_09,0.998539,"{""subject_09"": 0.998539, ""subject_38"": 0.000331, ""subject_04"": 0.000256}"
25,subject_09,subject_09,0.997682,"{""subject_09"": 0.997682, ""subject_04"": 0.000811, ""subject_03"": 0.000195}"
26,subject_09,subject_09,0.990228,"{""subject_09"": 0.990228, ""subject_10"": 0.002622, ""subject_04"": 0.002172}"
27,subject_10,subject_10,0.999066,"{""subject_10"": 0.999066, ""subject_17"": 0.000258, ""subject_35"": 0.000162}"
28,subject_10,subject_10,0.995644,"{""subject_10"": 0.995644, ""subject_17"": 0.00178, ""subject_28"": 0.001361}"
29,subject_10,subject_10,0.888204,"{""subject_10"": 0.888204, ""subject_28"": 0.046547, ""subject_03"": 0.020369}"
