sample_id,true_class,predicted_class,confidence,probability_vector
0,negative,negative,0.507666,"{""negative"": 0.507666, ""positive"": 0.492334}"
1,negative,positive,0.988592,"{""negative"": 0.011408, ""positive"": 0.988592}"
2,negative,negative,0.920725,"{""negative"": 0.920725, ""positive"": 0.079275}"
3,negative,positive,0.817147,"{""negative"": 0.182853, ""positive"": 0.817147}"
4,negative,positive,0.999985,"{""negative"": 1.5e-05, ""positive"": 0.999985}"
5,negative,negative,0.636864,"{""negative"": 0.636864, ""positive"": 0.363136}"
6,negative,negative,0.959644,"{""negative"": 0.959644, ""positive"": 0.040356}"
7,negative,negative,0.953992,"{""negative"": 0.953992, ""positive"": 0.046008}"
8,negative,negative,0.968934,"{""negative"": 0.968934, ""positive"": 0.031066}"
9,negative,negative,0.888811,"{""negative"": 0.888811, ""positive"": 0.111189}"
10,negative,positive,0.862456,"{""negative"": 0.137544, ""positive"": 0.862456}"
11,negative,positive,0.772896,"{""negative"": 0.227104, ""positive"": 0.772896}"
12,negative,negative,0.985617,"{""negative"": 0.985617, ""positive"": 0.014383}"
13,negative,positive,0.999308,"{""negative"": 0.000692, ""positive"": 0.999308}"
14,negative,positive,0.987956,"{""negative"": 0.012044, ""positive"": 0.987956}"
15,negative,positive,0.982744,"{""negative"": 0.017256, ""positive"": 0.982744}"
16,negative,positive,0.675505,"{""negative"": 0.324495, ""positive"": 0.675505}"
17,negative,positive,0.90757,"{""negative"": 0.09243, ""positive"": 0.90757}"
18,negative,negative,0.938385,"{""negative"": 0.938385, ""positive"": 0.061616}"
19,negative,positive,0.927397,"{""negative"": 0.072603, ""positive"": 0.927397}"
20,negative,negative,0.959291,"{""negative"": 0.959291, ""positive"": 0.040709}"
21,negative,positive,0.830593,"{""negative"": 0.169406, ""positive"": 0.830593}"
22,negative,positive,0.998855,"{""negative"": 0.001145, ""positive"": 0.998855}"
23,negative,positive,0.52977,"{""negative"": 0.47023, ""positive"": 0.52977}"
24,negative,negative,0.927911,"{""negative"": 0.927911, ""positive"": 0.072089}"
25,negative,positive,0.981144,"{""negative"": 0.018856, ""positive"": 0.981144}"
26,negative,positive,0.994082,"{""negative"": 0.005918, ""positive"": 0.994082}"
27,negative,positive,0.851681,"{""negative"": 0.148319, ""positive"": 0.851681}"
28,negative,positive,0.941239,"{""negative"": 0.058761, ""positive"": 0.941239}"
29,negative,positive,0.782826,"{""negative"": 0.217174, ""positive"": 0.782826}"
